Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Ahemdabad,2017,"42,230",Petrol,1st,"4,43,399"
Maruti Swift VDI ABS,Ahemdabad,2016,"50,800",Diesel,1st,"4,69,099"
Hyundai Grand i10 SPORTZ O 1.2,Ahemdabad,2017,"41,809",Petrol,1st,"4,78,599"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"27,467",Petrol + CNG,1st,"4,23,399"
Maruti Dzire ZDI Plus,Ahemdabad,2017,"22,591",Diesel,1st,"7,13,199"
Maruti Baleno DELTA 1.2 K12,Ahemdabad,2019,"12,046",Petrol,1st,"6,19,499"
Maruti Alto 800 LXI,Ahemdabad,2018,"30,143",Petrol,1st,"3,27,099"
Toyota YARIS J MT,Ahemdabad,2018,"23,833",Petrol,1st,"8,19,299"
Hyundai XCENT PRIME T+ PETROL,Ahemdabad,2017,"32,560",Petrol,1st,"4,96,009"
Maruti Swift VDI,Ahemdabad,2017,"40,803",Diesel,2nd,"4,89,699"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2019,"50,814",Petrol + CNG,1st,"4,22,999"
Maruti Swift VXI,Ahemdabad,2015,"65,380",Petrol,1st,"4,19,799"
Maruti Baleno ALPHA DDIS 190,Ahemdabad,2018,"26,777",Diesel,1st,"6,53,099"
Hyundai Grand i10 Sportz1.2 CRDI,Ahemdabad,2017,"44,186",Diesel,2nd,"4,01,099"
Maruti Baleno ZETA 1.2 K12,Ahemdabad,2019,"28,082",Petrol,1st,"6,00,199"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2019,"51,484",Petrol + CNG,1st,"4,45,599"
Maruti Alto 800 LXI,Ahemdabad,2013,"69,308",Petrol,1st,"2,34,099"
Maruti Baleno DELTA 1.2 K12,Ahemdabad,2017,"42,044",Petrol,1st,"5,27,699"
Maruti Alto 800 LXI,Ahemdabad,2017,"65,237",Petrol,1st,"2,54,499"
Maruti Swift VXI,Ahemdabad,2015,"68,777",Petrol,1st,"4,48,399"
Maruti Vitara Brezza ZDI,Ahemdabad,2018,"21,867",Diesel,1st,"7,87,599"
Maruti Swift Dzire VXI 1.2 BS IV,Ahemdabad,2013,"69,132",Petrol,2nd,"3,66,899"
Maruti Alto 800 LXI,Ahemdabad,2018,"58,283",Petrol,1st,"2,74,499"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"58,405",Petrol,1st,"3,99,899"
Maruti Swift VXI,Ahemdabad,2015,"66,664",Petrol,1st,"4,15,299"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"53,851",Petrol + CNG,1st,"4,07,499"
Maruti Vitara Brezza ZDI PLUS DUAL TONE,Ahemdabad,2016,"25,937",Diesel,1st,"7,37,999"
Maruti Swift VXI,Ahemdabad,2016,"68,973",Petrol,1st,"4,45,699"
Hyundai Eon MAGNA PLUS,Ahemdabad,2014,"62,410",Petrol,2nd,"2,28,299"
Maruti S Cross ZETA 1.3 SHVS,Ahemdabad,2018,"31,412",Diesel,1st,"8,62,399"
Maruti Alto 800 LXI,Ahemdabad,2019,"24,034",Petrol,1st,"3,10,199"
Maruti S Cross ZETA 1.3 SHVS,Ahemdabad,2018,"22,662",Diesel,1st,"8,78,999"
Maruti Alto 800 LXI,Ahemdabad,2016,"70,380",Petrol,1st,"2,45,399"
Maruti Baleno DELTA 1.2 K12,Ahemdabad,2019,"27,789",Petrol,1st,"6,15,499"
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Ahemdabad,2017,"76,337",Petrol + CNG,1st,"4,52,899"
Hyundai Creta 1.6 SX CRDI,Ahemdabad,2019,"51,604",Diesel,1st,"11,59,899"
Maruti Celerio VXI,Ahemdabad,2017,"48,484",Petrol,1st,"3,78,499"
Maruti Eeco 5 STR WITH AC PLUSHTR,Ahemdabad,2018,"51,720",Petrol + CNG,1st,"4,24,599"
Mahindra Scorpio S6+ INTELL HYBRID,Ahemdabad,2017,"48,530",Diesel,1st,"8,44,399"
Maruti Alto 800 LXI,Ahemdabad,2018,"39,010",Petrol,1st,"3,04,199"
Maruti S Cross ZETA 1.3 SHVS,Ahemdabad,2018,"15,790",Diesel,1st,"8,69,399"
