,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
207,Maruti Alto K10 VXI,Pune,2013,"33,351",Petrol,1st,"1,79,999"
208,Tata Tiago XT 1.2 REVOTRON,Pune,2018,"22,294",Petrol,1st,"3,61,499"
209,Hyundai New Elantra S 1.8 MT,Pune,2013,"26,382",Petrol,2nd,"4,80,499"
210,Hyundai Verna FLUIDIC 1.6 SX CRDI,Pune,2012,"66,428",Diesel,1st,"4,55,699"
211,Maruti Alto LXI,Pune,2009,"68,273",Petrol,1st,"1,43,199"
212,Tata Nano TWIST XTA,Pune,2015,"31,043",Petrol,1st,"1,88,599"
213,Hyundai i10 SPORTZ 1.1 IRDE2,Pune,2016,"28,831",Petrol + CNG,1st,"3,57,799"
214,Honda Amaze 1.2 SMT I VTEC,Pune,2013,"49,983",Petrol,1st,"3,71,999"
215,Maruti Swift VXI,Pune,2014,"43,680",Petrol,2nd,"3,71,199"
216,Maruti Alto LXI CNG,Pune,2020,"6,365",Petrol + CNG,1st,"3,79,699"
217,Maruti Wagon R 1.0 LXI CNG,Pune,2015,"22,799",Petrol + CNG,1st,"3,56,799"
218,Ford Ecosport 1.5 TREND TI VCT,Pune,2014,"29,000",Petrol,2nd,"4,49,199"
219,Maruti Wagon R 1.0 VXI,Pune,2011,"55,472",Petrol,2nd,"2,47,699"
220,Honda City S MT PETROL,Pune,2010,"27,657",Petrol,1st,"3,13,399"
221,Hyundai i10 ERA 1.1 IRDE,Pune,2012,"43,211",Petrol,2nd,"2,50,199"
222,Chevrolet Beat LS PETROL,Pune,2010,"55,633",Petrol,2nd,"1,43,499"
223,Maruti Celerio ZXI OPT,Pune,2014,"30,338",Petrol,1st,"3,46,599"
224,Maruti Alto LXI,Pune,2011,"9,742",Petrol,1st,"2,05,299"
225,Honda City V AT,Pune,2012,"40,235",Petrol,1st,"4,59,899"
226,Ford Figo 1.2 TITANIUM DURATEC,Pune,2012,"45,635",Petrol,1st,"2,30,399"
227,Maruti Celerio VXI,Pune,2015,"14,830",Petrol,1st,"3,43,599"
228,Maruti Swift VXI ABS,Pune,2016,"31,429",Petrol,1st,"4,29,399"
229,Ford Ecosport 1.0 ECOBOOST TITANIUM OPT,Pune,2013,"43,545",Petrol,2nd,"4,51,199"
230,Maruti Swift Dzire VXI 1.2 BS IV,Pune,2015,"29,683",Petrol,1st,"4,72,299"
231,Hyundai Eon MAGNA PLUS,Pune,2016,"15,044",Petrol,1st,"3,09,599"
232,Hyundai i20 ASTA 1.2,Pune,2009,"24,743",Petrol,2nd,"2,66,899"
233,Hyundai i20 MAGNA O 1.2,Pune,2011,"54,065",Petrol,1st,"2,84,599"
234,Hyundai i20 MAGNA O 1.2,Pune,2011,"38,988",Petrol,1st,"3,21,099"
235,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Pune,2015,"34,314",Petrol,2nd,"3,48,799"
236,Maruti Swift VXI LIMITED EDITION,Pune,2017,"27,809",Petrol,1st,"5,01,199"
237,Hyundai Eon SPORTZ,Pune,2014,"43,134",Petrol,1st,"2,69,699"
238,Hyundai i10 SPORTZ 1.1 IRDE2,Pune,2014,"44,857",Petrol,1st,"2,93,799"
239,Hyundai Verna FLUIDIC 1.6 SX VTVT,Pune,2011,"57,250",Petrol,1st,"3,80,799"
240,Hyundai Eon ERA PLUS,Pune,2012,"58,646",Petrol,2nd,"1,93,299"
241,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Pune,2015,"48,057",Petrol,1st,"3,92,699"
242,Maruti Swift VXI,Pune,2014,"15,788",Petrol,1st,"3,84,599"
243,Renault Kwid RXL1.0 EASY-R AT,Pune,2017,"17,245",Petrol,1st,"3,06,399"
244,Honda Brio 1.2 S MT I VTEC,Pune,2015,"35,067",Petrol,1st,"3,56,799"
