,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
135,Maruti Swift VDI,Delhi,2012,"82,585",Diesel,1st,"3,02,799"
136,Maruti Ritz VDI,Delhi,2012,"80,575",Diesel,2nd,"2,28,399"
137,Maruti Swift VDI,Delhi,2012,"80,682",Diesel,1st,"3,04,899"
138,Maruti Swift ZDI,Delhi,2012,"84,352",Diesel,1st,"3,20,299"
139,Maruti Swift VDI,Delhi,2013,"63,561",Diesel,1st,"3,64,099"
140,Maruti Zen Estilo VXI,Delhi,2009,"99,165",Petrol,2nd,"1,55,999"
141,Maruti Ritz VDI,Delhi,2013,"76,553",Diesel,1st,"2,73,599"
142,Honda City S MT PETROL,Delhi,2010,"86,479",Petrol,3rd,"3,04,899"
143,Maruti Alto 800 LXI,Delhi,2013,"74,820",Petrol,1st,"2,05,799"
144,Maruti Vitara Brezza VDI,Delhi,2018,"40,769",Diesel,1st,"6,95,699"
145,Hyundai i10 MAGNA 1.1 IRDE2,Delhi,2011,"66,492",Petrol,1st,"2,57,299"
146,Maruti Swift ZDI,Delhi,2012,"79,122",Diesel,2nd,"3,69,399"
147,Maruti Swift VDI,Delhi,2014,"79,144",Diesel,1st,"3,65,999"
148,Maruti Swift Dzire VDI ABS,Delhi,2015,"78,413",Diesel,1st,"4,67,699"
149,Honda City S MT PETROL,Delhi,2010,"87,755",Petrol,2nd,"3,20,599"
150,Maruti Swift VDI ABS,Delhi,2015,"72,533",Diesel,2nd,"4,03,999"
151,Mahindra TUV300 T8 AT,Delhi,2015,"71,692",Diesel,2nd,"5,53,499"
152,Hyundai Santro Xing GL PLUS,Delhi,2011,"66,464",Petrol,1st,"1,87,899"
153,Maruti Swift Dzire VDI BS IV,Delhi,2012,"81,549",Diesel,1st,"3,81,699"
154,Hyundai i10 MAGNA 1.2 KAPPA2,Delhi,2011,"73,012",Petrol,2nd,"2,45,599"
155,Maruti Swift VDI ABS,Delhi,2015,"82,293",Diesel,2nd,"3,64,299"
156,Honda Jazz 1.2 BASE I VTEC,Delhi,2010,"69,305",Petrol,1st,"3,27,899"
157,Maruti Swift Dzire VXI,Delhi,2010,"84,445",Petrol,1st,"2,50,499"
158,Maruti Swift Dzire VDI BS IV,Delhi,2012,"80,181",Diesel,1st,"3,31,399"
159,Ford Figo 1.4 LXI DURATORQ,Delhi,2012,"1,09,230",Diesel,1st,"2,26,299"
160,Maruti Ritz VXI BS IV,Delhi,2011,"76,919",Petrol,1st,"2,42,799"
161,Mahindra Scorpio S8,Delhi,2015,"60,362",Diesel,2nd,"8,37,799"
162,Toyota Innova Crysta Touring Sport Diesel MT,Delhi,2017,"51,238",Diesel,1st,"17,06,699"
163,Maruti Swift Dzire VDI BS IV,Delhi,2013,"1,49,275",Diesel,1st,"3,39,599"
164,Maruti Vitara Brezza VDI AMT,Delhi,2019,"33,317",Diesel,1st,"7,62,599"
165,Maruti Swift VDI,Delhi,2015,"86,567",Diesel,1st,"3,63,699"
166,Honda City S MT PETROL,Delhi,2010,"86,768",Petrol,3rd,"3,41,799"
167,Maruti Swift ZDI,Delhi,2012,"80,936",Diesel,1st,"3,09,499"
168,Maruti Wagon R LXI MINOR,Delhi,2008,"56,724",Petrol,1st,"1,80,199"
169,Hyundai Eon D LITE PLUS,Delhi,2013,"79,810",Petrol,1st,"1,85,599"
170,Mahindra Scorpio S10,Delhi,2016,"54,407",Diesel,1st,"9,93,199"
171,Maruti Ertiga ZDI,Delhi,2012,"81,227",Diesel,2nd,"3,72,499"
172,Maruti Alto K10 LXI,Delhi,2011,"80,346",Petrol,1st,"2,09,199"
173,Toyota Etios Liva D 4D GD,Delhi,2012,"87,914",Diesel,1st,"2,60,799"
