,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
189,Honda Brio 1.2 S MT I VTEC,Chandigarh,2015,"58,396",Petrol,2nd,"3,40,899"
190,Volkswagen Ameo COMFORTLINE 1.0,Chandigarh,2019,"33,288",Petrol,1st,"4,53,899"
191,Maruti Alto K10 VXI,Chandigarh,2013,"21,784",Petrol,2nd,"2,31,799"
192,KIA SELTOS HTK PLUS 1.5 DIESEL,Chandigarh,2020,"9,197",Diesel,1st,"13,42,599"
193,Maruti Swift VDI ABS,Chandigarh,2015,"37,481",Diesel,1st,"4,11,999"
194,Maruti Ritz ZXI,Chandigarh,2014,"58,664",Petrol,1st,"3,30,999"
195,Maruti Alto LXI,Chandigarh,2009,"57,864",Petrol,1st,"1,38,499"
196,Honda Amaze 1.2 SMT I VTEC,Chandigarh,2015,"62,045",Petrol,1st,"4,38,599"
197,Maruti Swift Dzire ZXI 1.2 BS IV,Chandigarh,2015,"62,674",Petrol,2nd,"4,34,899"
198,Maruti Ritz VDI,Chandigarh,2015,"64,475",Diesel,1st,"2,94,699"
199,Honda Brio 1.2 VX AT I VTEC,Chandigarh,2015,"22,774",Petrol,1st,"4,20,599"
200,Volkswagen Polo HIGHLINE1.2L PETROL,Chandigarh,2012,"66,271",Petrol,2nd,"3,45,799"
201,Maruti Swift VDI ABS,Chandigarh,2015,"63,435",Diesel,1st,"4,15,199"
202,Maruti Swift LXI,Chandigarh,2013,"43,265",Petrol,3rd,"3,42,999"
203,Maruti Swift LXI,Chandigarh,2014,"61,924",Petrol,1st,"4,25,299"
204,Maruti Alto K10 VXI,Chandigarh,2010,"63,843",Petrol,3rd,"1,73,799"
205,Maruti Alto K10 VXI,Chandigarh,2014,"51,228",Petrol,1st,"2,70,399"
206,Maruti A Star LXI,Chandigarh,2009,"30,403",Petrol,1st,"1,77,199"
207,Volkswagen Polo COMFORTLINE 1.5L DIESEL,Chandigarh,2014,"60,020",Diesel,1st,"3,75,799"
208,Maruti Wagon R 1.0 LXI,Chandigarh,2018,"69,958",Petrol,1st,"3,69,899"
209,Ford Ecosport 1.5TITANIUM TDCI,Chandigarh,2019,"11,563",Diesel,2nd,"8,62,999"
210,Maruti Swift VDI ABS,Chandigarh,2015,"66,476",Diesel,1st,"4,06,099"
211,Hyundai Grand i10 SPORTS 1.2 VTVT,Chandigarh,2017,"65,194",Petrol,1st,"4,33,199"
212,Maruti Alto 800 LXI,Chandigarh,2017,"65,151",Petrol,1st,"2,96,399"
213,Hyundai i20 MAGNA 1.2 VTVT,Chandigarh,2009,"45,449",Petrol,2nd,"2,38,499"
214,Maruti Alto LXI,Chandigarh,2008,"62,613",Petrol,1st,"1,41,099"
215,Maruti Swift VXI,Chandigarh,2011,"64,812",Petrol,2nd,"2,98,099"
216,Maruti Swift Dzire VXI,Chandigarh,2010,"61,308",Petrol,1st,"2,87,099"
217,Maruti Ciaz DELTA 1.4 VVT AT,Chandigarh,2018,"20,258",Petrol,1st,"7,63,699"
218,Tata Zest XT QUADRAJET 90PS,Chandigarh,2014,"65,796",Diesel,2nd,"3,01,899"
219,Maruti Alto 800 VXI,Chandigarh,2014,"5,383",Petrol,1st,"2,79,899"
220,Maruti Swift ZXI,Chandigarh,2013,"59,872",Petrol,2nd,"3,91,799"
221,Honda Jazz 1.2 BASE I VTEC,Chandigarh,2009,"75,136",Petrol,2nd,"2,13,299"
222,Maruti Swift Dzire VDI BS IV,Chandigarh,2015,"69,039",Diesel,1st,"4,25,099"
223,Maruti Swift VDI,Chandigarh,2014,"64,031",Diesel,1st,"4,05,699"
224,Maruti Zen Estilo VXI,Chandigarh,2010,"50,189",Petrol,2nd,"1,86,999"
225,Honda Amaze 1.5 VXMT I DTEC,Chandigarh,2013,"63,748",Diesel,3rd,"2,83,599"
226,Maruti Swift LXI 1.3,Chandigarh,2008,"76,422",Petrol,2nd,"1,97,799"
227,Toyota Etios Liva D 4D GD,Chandigarh,2015,"64,927",Diesel,1st,"4,34,099"
228,Maruti Swift VDI ABS,Chandigarh,2017,"68,792",Diesel,1st,"4,91,099"
