,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
628,Volkswagen Ameo HIGHLINE PLUS DSG 1.5,Bengaluru,2017,"38,584",Diesel,3rd,"5,87,799"
629,Ford Fiesta 1.6 ZXI ABS,Bengaluru,2009,"95,319",Petrol,2nd,"2,71,899"
630,Ford Figo 1.4 EXI DURATORQ,Bengaluru,2012,"70,204",Diesel,1st,"2,91,299"
631,Hyundai Elite i20 ASTA 1.2 (O),Bengaluru,2019,"16,097",Petrol,2nd,"6,95,399"
632,Maruti Swift VXI,Bengaluru,2018,"26,202",Petrol,1st,"5,99,699"
633,Maruti Ertiga VDI ABS,Bengaluru,2015,"53,684",Diesel,2nd,"6,52,499"
634,Mahindra E2O T2,Bengaluru,2014,"67,449",Electric,1st,"2,51,699"
635,Maruti Swift Dzire VDI BS IV,Bengaluru,2014,"64,332",Diesel,3rd,"4,13,999"
636,Maruti Ritz VXI BS IV,Bengaluru,2011,"81,119",Petrol,1st,"3,16,999"
637,Hyundai i20 MAGNA 1.4 CRDI,Bengaluru,2012,"1,19,610",Diesel,1st,"3,60,699"
638,Mahindra XUV500 W10 AT,Bengaluru,2017,"63,366",Diesel,1st,"12,57,799"
639,Maruti Swift Dzire VDI BS IV,Bengaluru,2013,"69,231",Diesel,1st,"4,65,399"
640,Mercedes Benz C Class 250 CDI AVANTGARDE,Bengaluru,2012,"83,486",Diesel,2nd,"11,31,999"
641,Maruti Alto LXI,Bengaluru,2008,"73,710",Petrol,1st,"1,75,799"
642,Mahindra Kuv100 K8 D 6 STR,Bengaluru,2016,"64,633",Diesel,2nd,"4,06,099"
643,Maruti Zen Estilo LXI,Bengaluru,2008,"71,113",Petrol,2nd,"1,63,299"
644,Renault Duster RXL PETROL 104,Bengaluru,2016,"55,724",Petrol,1st,"6,48,999"
645,Hyundai i20 SPORTZ O 1.4 CRDI,Bengaluru,2011,"1,27,738",Diesel,1st,"3,12,599"
646,Volkswagen Vento HIGHLINE DIESEL,Bengaluru,2011,"96,475",Diesel,2nd,"3,67,399"
647,Honda Amaze 1.5 V CVT I-DTEC,Bengaluru,2018,"15,127",Diesel,1st,"7,57,599"
648,Maruti Baleno DELTA 1.2 K12,Bengaluru,2016,"3,546",Petrol,1st,"6,15,499"
649,Maruti Vitara Brezza VDI AMT,Bengaluru,2018,"35,547",Diesel,1st,"8,43,399"
650,Maruti Swift Dzire VXI OPT,Bengaluru,2016,"52,435",Petrol,1st,"4,94,899"
651,Volkswagen Vento HIGHLINE DIESEL,Bengaluru,2011,"1,24,220",Diesel,2nd,"3,20,199"
652,Honda WR-V 1.2 i-VTEC VX MT,Bengaluru,2017,"26,136",Petrol,1st,"7,23,799"
653,Ford Figo 1.2 TITANIUM DURATEC,Bengaluru,2010,"1,07,442",Petrol,3rd,"2,14,099"
654,Tata Aria PURE 4X2,Bengaluru,2011,"1,04,496",Diesel,2nd,"3,35,199"
655,Hyundai i10 MAGNA,Bengaluru,2008,"87,637",Petrol,3rd,"2,38,699"
656,Maruti Celerio ZXI AMT,Bengaluru,2016,"52,584",Petrol,1st,"3,94,099"
657,Maruti Swift VXI 1.3,Bengaluru,2008,"79,647",Petrol,3rd,"2,49,899"
658,Volkswagen Polo HIGHLINE1.2L DIESEL,Bengaluru,2011,"1,00,966",Diesel,3rd,"3,51,499"
659,Toyota Innova 2.5 V 8 STR,Bengaluru,2009,"2,04,298",Diesel,2nd,"6,99,499"
660,Maruti Swift ZDI AMT,Bengaluru,2018,"23,055",Diesel,1st,"7,11,599"
661,Nissan Sunny XL PETROL,Bengaluru,2011,"93,429",Petrol,1st,"3,22,299"
662,Honda City V CVT,Bengaluru,2019,"8,019",Petrol,1st,"10,92,799"
663,Maruti Zen Estilo LXI,Bengaluru,2007,"1,18,121",Petrol,1st,"1,38,499"
664,Hyundai Santro Xing XO ERLX EURO III,Bengaluru,2007,"69,390",Petrol,2nd,"1,94,599"
665,Mahindra XUV500 W10 AT FWD,Bengaluru,2017,"30,027",Diesel,2nd,"14,10,099"
666,Maruti Ertiga ZDI,Bengaluru,2015,"47,724",Diesel,1st,"7,59,699"
667,Volkswagen Polo GT TDI,Bengaluru,2019,"37,382",Diesel,1st,"8,04,899"
668,Nissan Micra Active XV S,Bengaluru,2016,"63,814",Petrol,1st,"3,87,399"
669,Maruti Swift Dzire VXI 1.3,Bengaluru,2008,"85,451",Petrol,1st,"3,01,899"
670,Hyundai Creta 1.6 SX CRDI,Bengaluru,2015,"86,573",Diesel,1st,"8,61,599"
671,Hyundai Elite i20 ASTA 1.2,Bengaluru,2018,"11,156",Petrol,1st,"7,05,299"
672,Honda City V MT PETROL,Bengaluru,2015,"65,102",Petrol,2nd,"6,12,599"
673,Renault Duster RXZ AMT 110 PS,Bengaluru,2016,"83,418",Diesel,1st,"7,90,599"
674,Maruti Vitara Brezza VDI OPT,Bengaluru,2018,"16,565",Diesel,1st,"7,84,599"
675,Maruti Alto K10 VXI,Bengaluru,2015,"70,098",Petrol,1st,"2,73,399"
676,Maruti S Cross ZETA 1.3,Bengaluru,2015,"56,672",Diesel,1st,"6,39,899"
677,Volkswagen Vento HIGHLINE PETROL,Bengaluru,2016,"48,808",Petrol,2nd,"5,79,599"
678,Maruti Swift Dzire VDI BS IV,Bengaluru,2014,"87,125",Diesel,2nd,"4,57,199"
679,Maruti Dzire VDI,Bengaluru,2017,"55,499",Diesel,1st,"6,09,299"
680,Hyundai Xcent S 1.2,Bengaluru,2014,"97,307",Petrol,1st,"3,83,199"
681,Hyundai i20 MAGNA 1.2 VTVT,Bengaluru,2010,"91,316",Petrol,1st,"3,11,099"
682,Hyundai Elite i20 ASTA 1.2,Bengaluru,2015,"76,693",Petrol,1st,"5,99,499"
683,Hyundai i20 MAGNA O 1.2,Bengaluru,2011,"65,735",Petrol,3rd,"2,99,099"
684,Hyundai Verna FLUIDIC 1.6 SX CRDI,Bengaluru,2012,"1,06,008",Diesel,3rd,"3,88,999"
685,Maruti Swift ZXI PLUS AMT,Bengaluru,2019,"30,625",Petrol,1st,"6,78,899"
686,Mahindra Thar CRDE 4X4 BS IV,Bengaluru,2017,"25,418",Diesel,1st,"7,63,999"
687,Honda Jazz 1.2 V MT,Bengaluru,2015,"1,05,937",Petrol,2nd,"4,51,899"
688,Mahindra XUV500 W11 (O),Bengaluru,2018,"33,834",Diesel,1st,"14,79,399"
689,Volkswagen Vento HIGHLINE TDI AT,Bengaluru,2015,"86,812",Diesel,1st,"6,31,599"
690,Skoda Rapid 1.6 MPI AT AMBITION PLUS,Bengaluru,2014,"83,429",Petrol,1st,"4,69,599"
691,Hyundai Elite i20 1.4 CRDI ASTA (O),Bengaluru,2017,"65,269",Diesel,1st,"6,75,399"
692,Mahindra Thar CRDE 4X4 BS IV,Bengaluru,2019,"5,652",Diesel,1st,"9,80,799"
693,Volkswagen Polo GT TDI 1.6 MT DIESEL,Bengaluru,2016,"48,538",Diesel,1st,"7,16,599"
694,Toyota Innova 2.5 GX 8 STR BS IV,Bengaluru,2012,"93,262",Diesel,1st,"5,17,499"
695,Maruti Eeco 5 STR WITH AC PLUSHTR,Bengaluru,2015,"81,268",Petrol,2nd,"2,95,499"
696,Mahindra XUV500 W6 4X2,Bengaluru,2015,"41,688",Diesel,1st,"8,96,399"
697,Maruti Ritz VDI,Bengaluru,2012,"1,12,264",Diesel,1st,"3,11,399"
698,Ford Ecosport 1.5TITANIUM TDCI,Bengaluru,2013,"78,085",Diesel,2nd,"5,63,899"
699,Ford Ecosport 1.5 TREND TI VCT,Bengaluru,2016,"98,250",Petrol,1st,"5,83,599"
700,Maruti Swift Dzire ZDI,Bengaluru,2014,"87,454",Diesel,2nd,"5,20,999"
701,Toyota Innova Crysta 2.8 ZX AT 7 STR,Bengaluru,2017,"36,613",Diesel,2nd,"17,70,699"
702,Honda City S AT,Bengaluru,2009,"2,04,972",Petrol,1st,"3,68,599"
703,Hyundai Elite i20 ASTA 1.2 (O),Bengaluru,2016,"80,315",Petrol,1st,"5,73,099"
704,Ford Figo 1.4 TITANIUM DURATORQ,Bengaluru,2010,"1,28,489",Diesel,1st,"2,84,799"
705,Maruti Ertiga ZXI,Bengaluru,2012,"1,38,388",Petrol,2nd,"5,05,199"
706,Mahindra XUV500 W6 4X2,Bengaluru,2016,"1,09,225",Diesel,1st,"8,33,999"
707,Volkswagen Polo HIGHLINE1.2L PETROL,Bengaluru,2015,"90,272",Petrol,1st,"5,01,599"
708,Hyundai i20 ASTA 1.4 CRDI,Bengaluru,2010,"91,409",Diesel,1st,"3,51,199"
709,Hyundai i20 ASTA 1.4 CRDI,Bengaluru,2014,"1,28,553",Diesel,1st,"4,44,199"
710,Maruti Ertiga ZDI PLUS SHVS,Bengaluru,2015,"1,29,011",Diesel,2nd,"6,80,999"
711,Toyota Innova 2.5 V 8 STR,Bengaluru,2009,"68,496",Diesel,2nd,"6,89,099"
712,Hyundai i20 SPORTZ 1.2 O,Bengaluru,2011,"1,38,398",Petrol,2nd,"3,30,799"
713,Hyundai Verna FLUIDIC 1.6 SX VTVT OPT,Bengaluru,2013,"1,60,483",Petrol,2nd,"4,63,199"
714,Toyota Innova 2.5 VX 7 STR BS IV,Bengaluru,2014,"2,27,391",Diesel,1st,"10,62,999"
715,Ford Fiesta 1.6 ZXI,Bengaluru,2008,"1,55,454",Petrol,1st,"2,37,799"
716,Hyundai Santro Xing GLS,Bengaluru,2008,"43,520",Petrol,2nd,"1,98,499"
717,Renault Duster RXZ DIESEL 110,Bengaluru,2013,"1,41,347",Diesel,1st,"5,14,899"
718,Maruti Alto 800 LXI,Bengaluru,2013,"1,17,275",Petrol,1st,"2,29,699"
719,Ford Fiesta Classic 1.4 CLXI TDCI,Bengaluru,2012,"2,18,118",Diesel,2nd,"2,26,099"
720,Maruti Ertiga ZDI PLUS SHVS,Bengaluru,2016,"1,31,550",Diesel,1st,"6,64,799"
721,Nissan Terrano XL P,Bengaluru,2014,"1,13,456",Petrol,1st,"4,35,699"
722,Toyota Corolla Altis D 4D G,Bengaluru,2014,"63,529",Diesel,1st,"8,84,899"
723,Maruti Alto K10 VXI,Bengaluru,2011,"63,550",Petrol,3rd,"1,85,399"
724,Maruti Wagon R 1.0 LXI,Bengaluru,2010,"52,160",Petrol,1st,"2,80,899"
725,Hyundai Verna FLUIDIC 1.6 SX VTVT,Bengaluru,2013,"42,627",Petrol,1st,"5,22,399"
726,Honda City S MT PETROL,Bengaluru,2010,"67,106",Petrol,2nd,"4,07,399"
727,Skoda Octavia ELEGANCE 2.0 TDI CR AT,Bengaluru,2015,"93,281",Diesel,1st,"10,35,999"
728,Maruti Vitara Brezza ZDI,Bengaluru,2016,"1,23,181",Diesel,1st,"6,51,699"
